nohup: 忽略输入
0,   总市值：8.28/10000.0  |  累计收益率：-99.92%  |  累计年化收益率：-78.27% 
1,   总市值：13.98/10000.0  |  累计收益率：-99.86%  |  累计年化收益率：-75.68% 
2,   总市值：11.44/10000.0  |  累计收益率：-99.89%  |  累计年化收益率：-76.7% 
test process:  总市值：10820.46/13436.77  |  累计收益率：8.2%  |  累计年化收益率：0.96% 
3,   总市值：9.58/10000.0  |  累计收益率：-99.9%  |  累计年化收益率：-77.57% 
4,   总市值：6.59/10000.0  |  累计收益率：-99.93%  |  累计年化收益率：-79.31% 
5,   总市值：4.16/10000.0  |  累计收益率：-99.96%  |  累计年化收益率：-81.26% 
test process:  总市值：11619.46/14789.14  |  累计收益率：16.19%  |  累计年化收益率：1.83% 
6,   总市值：7.92/10000.0  |  累计收益率：-99.92%  |  累计年化收益率：-78.47% 
7,   总市值：5.12/10000.0  |  累计收益率：-99.95%  |  累计年化收益率：-80.4% 
8,   总市值：8.03/10000.0  |  累计收益率：-99.92%  |  累计年化收益率：-78.41% 
test process:  总市值：7871.16/11642.82  |  累计收益率：-21.29%  |  累计年化收益率：-2.85% 
9,   总市值：4.47/10000.0  |  累计收益率：-99.96%  |  累计年化收益率：-80.97% 
10,   总市值：20.3/10000.0  |  累计收益率：-99.8%  |  累计年化收益率：-73.64% 
11,   总市值：13.21/10000.0  |  累计收益率：-99.87%  |  累计年化收益率：-75.97% 
test process:  总市值：6084.1/10000.0  |  累计收益率：-39.16%  |  累计年化收益率：-5.83% 
12,   总市值：9.21/10000.0  |  累计收益率：-99.91%  |  累计年化收益率：-77.76% 
13,   总市值：9.42/10000.0  |  累计收益率：-99.91%  |  累计年化收益率：-77.65% 
14,   总市值：12.44/10000.0  |  累计收益率：-99.88%  |  累计年化收益率：-76.28% 
test process:  总市值：6028.89/11824.07  |  累计收益率：-39.71%  |  累计年化收益率：-5.93% 
15,   总市值：16.89/10000.0  |  累计收益率：-99.83%  |  累计年化收益率：-74.67% 
16,   总市值：8.46/10000.0  |  累计收益率：-99.92%  |  累计年化收益率：-78.17% 
17,   总市值：18.87/10000.0  |  累计收益率：-99.81%  |  累计年化收益率：-74.05% 
test process:  总市值：11307.45/13934.86  |  累计收益率：13.07%  |  累计年化收益率：1.5% 
